STATUS | wrapper  | 2018/03/30 14:29:44 | --> Wrapper Started as Console
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,980 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,980 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,980 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:45,980 [INFO ][WrapperSimpleAppMain] no ilde connection in pool,create new connection for hostM1 of schema ias  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:413) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,071 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=1, lastTime=1522420186071, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3838, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,071 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=8, lastTime=1522420186071, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3841, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,071 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=2, lastTime=1522420186071, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3843, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,071 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=4, lastTime=1522420186071, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3840, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,072 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=6, lastTime=1522420186072, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3844, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,072 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=7, lastTime=1522420186072, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3846, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
